participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
107,2jomm6gy,58509fbda6946500016117ed,0,29,29,Thanks,MyPage,2024-03-20 15:31:45.106945,1,,,200.0,107,,0.0,3,1,1,slvfalvu,,,,,0
108,f1evc37l,5c6a36214fbf270001311702,0,29,29,Thanks,MyPage,2024-03-20 15:32:03.432378,1,,,50.0,108,,0.0,4,1,1,slvfalvu,,,,,0
109,440ep0oh,63ca0371da16422efc4d483f,0,17,29,kicked_out,MyPage,2024-03-20 15:34:11.489824,1,,,0.0,109,,0.0,,1,1,slvfalvu,,,,,0
110,ib0axx52,5e07d174da6bad1342bafab2,0,29,29,Thanks,MyPage,2024-03-20 15:34:25.450001,1,,,50.0,110,,0.0,2,1,1,slvfalvu,,,,,0
111,b08gjziv,564e93659b124900127eb55b,0,16,29,not_completed,MyPage,2024-03-20 15:38:22.964918,1,,,0.0,111,,0.0,,1,1,slvfalvu,,,,,0
112,8j5rmfkx,5f79bca83a2eb65c0983816d,0,16,29,not_completed,MyPage,2024-03-20 15:44:37.121350,1,,,0.0,112,,0.0,,1,1,slvfalvu,,,,,0
113,6h9siclo,63c93f3a44e47b49c6f0223c,0,29,29,Thanks,MyPage,2024-03-20 15:57:55.030805,1,,,50.0,113,,0.0,4,1,1,slvfalvu,,,,,0
114,268z8312,6073e0d481953bbd2cd61145,0,29,29,Thanks,MyPage,2024-03-20 15:58:19.728384,1,,,200.0,114,,0.0,2,1,1,slvfalvu,,,,,0
115,3sukalaq,63cc61687ea57d11f6761f4d,0,16,29,not_completed,MyPage,2024-03-20 16:06:28.353750,1,,,0.0,115,,0.0,,1,1,slvfalvu,,,,,0
116,i9ta7oau,,0,0,29,,,,0,,,0.0,116,,0.0,,1,1,slvfalvu,,,,,0
117,fbexaoy5,,0,0,29,,,,0,,,0.0,117,,0.0,,1,1,slvfalvu,,,,,0
118,rencox29,,0,0,29,,,,0,,,0.0,118,,0.0,,1,1,slvfalvu,,,,,0
119,bg34ne1z,,0,0,29,,,,0,,,0.0,119,,0.0,,1,1,slvfalvu,,,,,0
120,d9dfw9pw,,0,0,29,,,,0,,,0.0,120,,0.0,,1,1,slvfalvu,,,,,0
121,kpkur306,,0,0,29,,,,0,,,0.0,121,,0.0,,1,1,slvfalvu,,,,,0
122,qirwruz7,,0,0,29,,,,0,,,0.0,122,,0.0,,1,1,slvfalvu,,,,,0
123,cge171gb,,0,0,29,,,,0,,,0.0,123,,0.0,,1,1,slvfalvu,,,,,0
124,72rukpdh,,0,0,29,,,,0,,,0.0,124,,0.0,,1,1,slvfalvu,,,,,0
125,uyfod4yp,,0,0,29,,,,0,,,0.0,125,,0.0,,1,1,slvfalvu,,,,,0
126,zaxlury5,,0,0,29,,,,0,,,0.0,126,,0.0,,1,1,slvfalvu,,,,,0
127,lkryk3up,,0,0,29,,,,0,,,0.0,127,,0.0,,1,1,slvfalvu,,,,,0
128,8b0ovgk4,,0,0,29,,,,0,,,0.0,128,,0.0,,1,1,slvfalvu,,,,,0
129,ziwd3vd8,,0,0,29,,,,0,,,0.0,129,,0.0,,1,1,slvfalvu,,,,,0
130,jizlb029,,0,0,29,,,,0,,,0.0,130,,0.0,,1,1,slvfalvu,,,,,0
1,jcb5p4r4,63c515f70542e2ff1937031b,0,1,32,Consent_general,ConsentPage,2024-03-20 16:35:01.436704,1,,,0.0,1,,0.0,,1,1,7reoo3kl,,,,,0
2,fhavdxuf,61531a9bd8acf4e88e083892,0,32,32,Thanks,MyPage,2024-03-20 16:37:01.108391,1,,,150.0,2,,0.0,5,1,1,7reoo3kl,,,,,0
3,l9t0g9ij,63d69919e9b7547ceeb0d31d,0,32,32,Thanks,MyPage,2024-03-20 16:37:15.107719,1,,,100.0,3,,0.0,3,1,1,7reoo3kl,,,,,0
4,ydogyhgb,5c475608cae0ab000188cb6e,0,32,32,Thanks,MyPage,2024-03-20 16:37:43.428470,1,,,200.0,4,,0.0,2,1,1,7reoo3kl,,,,,0
5,uymre0gf,65cf88a1a3887a237da61f94,0,32,32,Thanks,MyPage,2024-03-20 16:37:44.703837,1,,,150.0,5,,0.0,4,1,1,7reoo3kl,,,,,0
6,b31viyw5,569298838d93fe000dfa033c,0,4,32,Intro_SQ,GameIntroPage,2024-03-20 16:37:51.747420,1,,,0.0,6,,0.0,,1,1,7reoo3kl,,,,,0
